Execucao,TempoBFS,TempoDFS
1,0.003000,0.010000
2,0.003000,0.007000
3,0.002000,0.007000
4,0.002000,0.007000
5,0.003000,0.007000
6,0.002000,0.005000
7,0.002000,0.007000
8,0.002000,0.006000
9,0.002000,0.005000
10,0.003000,0.005000
11,0.002000,0.006000
12,0.002000,0.005000
13,0.001000,0.005000
14,0.002000,0.008000
15,0.002000,0.005000
16,0.002000,0.006000
17,0.002000,0.007000
18,0.002000,0.005000
19,0.002000,0.005000
20,0.002000,0.005000
21,0.002000,0.005000
22,0.002000,0.005000
23,0.002000,0.005000
24,0.002000,0.007000
25,0.002000,0.007000
26,0.001000,0.012000
27,0.003000,0.006000
28,0.003000,0.005000
29,0.002000,0.004000
30,0.002000,0.005000
31,0.001000,0.005000
32,0.002000,0.004000
33,0.002000,0.005000
34,0.001000,0.005000
35,0.002000,0.005000
36,0.002000,0.004000
37,0.002000,0.006000
38,0.001000,0.005000
39,0.001000,0.005000
40,0.002000,0.005000
41,0.001000,0.004000
42,0.002000,0.005000
43,0.001000,0.003000
44,0.001000,0.004000
45,0.001000,0.003000
46,0.001000,0.003000
47,0.001000,0.004000
48,0.001000,0.005000
49,0.001000,0.003000
50,0.001000,0.003000
